q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
269,2,4,6716261909,6902633,22.718715350267452,8.071462362556623,0.7036740781837497,313756
269,3,6,376452570230016,70024659641,36.02714401488587,8.071462362556623,0.7439202133105226,70024659640
271,1,1,244,61,5.930737337562887,8.08214904135387,0.7338069747559873,0
271,2,4,4614013383,2468707,21.235324188821973,8.08214904135387,0.6568588403952758,1234353
271,3,6,396988694181216,68952677,26.039103227838435,8.08214904135387,0.5369673976274617,17238169
277,1,1,252,7,2.807354922057604,8.113742166049189,0.3460000163432091,0
277,2,4,5587099952,3229,11.65687172561398,8.113742166049189,0.3591706356652088,3228
277,3,6,365038388434944,2829228581,31.39776159464873,8.113742166049189,0.6449502780198481,8953255
281,1,1,264,11,3.4594316186372973,8.134426320220927,0.4252828020628431,0
281,2,4,6624246531,315440311,28.23279179704484,8.134426320220927,0.8676946193139178,315440310
281,3,6,475744350089088,11443,13.482177711187445,8.134426320220927,0.27623701169257286,5721
283,1,1,314,157,7.294620748891627,8.144658242831882,0.8956325153743101,0
283,2,4,6713496496,2606171,21.313500316606415,8.144658242831882,0.6542171470289879,2606170
283,3,6,602805164064768,32789,15.000924282590567,8.144658242831882,0.3069685642486982,1171
293,1,1,280,7,2.807354922057604,8.194756854422248,0.3425794043593414,0
293,2,4,8047662336,18481,14.173755202104736,8.194756854422248,0.43240316503277215,77
293,3,6,692958219534336,503509681,28.907444276350663,8.194756854422248,0.5879256047471163,6993190
307,1,1,308,11,3.4594316186372973,8.262094845370179,0.4187111965406516,0
307,2,4,9451432704,3847,11.909518114296615,8.262094845370179,0.3603661764113716,641
307,3,6,906930412904448,43775911,25.3836338664342,8.262094845370179,0.5120499974381678,43775910
311,1,1,304,19,4.247927513443585,8.280770770130603,0.5129869708223534,0
311,2,4,10730076693,56893,15.795963536711662,8.280770770130603,0.47688687367391436,56892
311,3,6,809138902593024,175594379903,37.353455714284465,8.280770770130603,0.7518111689357336,175594379902
313,1,1,311,311,8.280770770130603,8.290018846932618,0.9988844323550077,0
313,2,4,9499022001,150778127,27.16785191477843,8.290018846932618,0.8192940334758944,150778126
313,3,6,748554253065792,31607,14.947956486904555,8.290018846932618,0.3005211601023769,15803
317,1,1,319,29,4.857980995127572,8.308339030139408,0.5847114540589539,0
317,2,4,9156059248,3793,11.889123656294238,8.308339030139408,0.3577467052429235,474
317,3,6,1248434565403392,627874021,29.22589987950439,8.308339030139408,0.586276426079955,125574804
331,1,1,343,7,2.807354922057604,8.370687406807217,0.3353792568785456,0
331,2,4,12463991344,2081,11.023061249735335,8.370687406807217,0.3292161298715788,520
331,3,6,1417666779455616,1230613523833,40.16251489089083,8.370687406807217,0.7996658047906126,615306761916
337,1,1,358,179,7.483815777264256,8.396604781181859,0.8912907028846577,0
337,2,4,11917425744,40351,15.300316807133395,8.396604781181859,0.4555507019165611,13450
