N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.64,0.2225,36.03045735341349,0.83011589935823,0.8011989035074827,-1.3323827566495452,Numerical finite sums from exact integer counts.
35,16,0.64,0.225,36.063701733295204,0.8320952669476299,0.7824117218160327,-1.3336382931564073,Numerical finite sums from exact integer counts.
35,16,0.64,0.2275,36.097024360050824,0.8340285281574471,0.7643088117193391,-1.3348782898618585,Numerical finite sums from exact integer counts.
35,16,0.64,0.23,36.13042342314531,0.8359173567929031,0.746860887537669,-1.3361030008439307,Numerical finite sums from exact integer counts.
35,16,0.64,0.2325,36.163897177552684,0.8377633550259702,0.7300399207464093,-1.3373126778492797,Numerical finite sums from exact integer counts.
35,16,0.64,0.23500000000000001,36.19744394095282,0.8395680564813921,0.7138190945557851,-1.3385075700516529,Numerical finite sums from exact integer counts.
35,16,0.64,0.23750000000000002,36.23106209104937,0.8413329292097784,0.6981727590177916,-1.3396879238395227,Numerical finite sums from exact integer counts.
35,16,0.64,0.24,36.26475006300439,0.8430593785492755,0.6830763868027147,-1.340853982630557,Numerical finite sums from exact integer counts.
35,16,0.64,0.2425,36.2985063469853,0.8447487498776474,0.6685065297653275,-1.3420059867107463,Numerical finite sums from exact integer counts.
35,16,0.64,0.245,36.33232948581962,0.8464023312568589,0.6544407764010329,-1.343144173096154,Numerical finite sums from exact integer counts.
35,16,0.64,0.2475,36.36621807275358,0.848021355972506,0.6408577102743452,-1.3442687754153817,Numerical finite sums from exact integer counts.
35,16,0.64,0.25,36.40017074931008,0.8496070049705979,0.6277368694863643,-1.3453800238109894,Numerical finite sums from exact integer counts.
35,16,0.64,0.2525,36.434186203242135,0.8511604091943661,0.6150587072337463,-1.346478144858224,Numerical finite sums from exact integer counts.
35,16,0.64,0.255,36.46826316657797,0.8526826518238791,0.6028045534992735,-1.3475633614995304,Numerical finite sums from exact integer counts.
35,16,0.64,0.2575,36.50240041375364,0.8541747704213244,0.5909565779031366,-1.3486358929934208,Numerical finite sums from exact integer counts.
35,16,0.64,0.26,36.536596759829706,0.8556377589848967,0.5794977537343695,-1.3496959548763954,Numerical finite sums from exact integer counts.
35,16,0.64,0.2625,36.57085105878829,0.8570725699142481,0.5684118231734749,-1.3507437589366926,Numerical finite sums from exact integer counts.
35,16,0.64,0.265,36.60516220190699,0.8584801158904899,0.5576832637098518,-1.351779513198741,Numerical finite sums from exact integer counts.
35,16,0.64,0.2675,36.639529116206376,0.8598612716737299,0.5472972557513528,-1.3528034219172729,Numerical finite sums from exact integer counts.
35,16,0.64,0.27,36.67395076296776,0.8612168758211134,0.5372396514177029,-1.353815685580137,Numerical finite sums from exact integer counts.
35,16,0.64,0.2725,36.70842613631819,0.8625477323283179,0.5274969445049047,-1.3548165009189286,Numerical finite sums from exact integer counts.
35,16,0.64,0.275,36.74295426187952,0.8638546121974006,0.5180562416036755,-1.3558060609266036,Numerical finite sums from exact integer counts.
35,16,0.64,0.2775,36.77753419547891,0.8651382549338693,0.5089052343516733,-1.356784554881348,Numerical finite sums from exact integer counts.
35,16,0.64,0.28,36.81216502191772,0.8663993699757744,0.5000321727964117,-1.3577521683759841,Numerical finite sums from exact integer counts.
35,16,0.64,0.28250000000000003,36.84684585379634,0.8676386380575689,0.4914258398435247,-1.358709083352302,Numerical finite sums from exact integer counts.
35,16,0.64,0.28500000000000003,36.881575830392244,0.8688567125114193,0.4830755267631328,-1.3596554781397059,Numerical finite sums from exact integer counts.
35,16,0.64,0.28750000000000003,36.91635411658893,0.870054220508578,0.47497100972567086,-1.3605915274976754,Numerical finite sums from exact integer counts.
35,16,0.64,0.29,36.95117990185336,0.8712317642433435,0.46710252733735863,-1.3615174026615104,Numerical finite sums from exact integer counts.
35,16,0.64,0.2925,36.986052399259634,0.8723899220620868,0.4594607591447583,-1.36243327139095,Numerical finite sums from exact integer counts.
35,16,0.64,0.295,37.02097084455678,0.8735292495397101,0.4520368050772597,-1.36333929802123,Numerical finite sums from exact integer counts.
35,16,0.64,0.2975,37.05593449527856,0.8746502805058549,0.4448221657960879,-1.3642356435162162,Numerical finite sums from exact integer counts.
35,16,0.64,0.3,37.090942629893405,0.875753528023084,0.4378087239182604,-1.3651224655232777,Numerical finite sums from exact integer counts.
35,16,0.64,0.3025,37.12599454699254,0.8768394853191822,0.43098872608406147,-1.3659999184295821,Numerical finite sums from exact integer counts.
35,16,0.64,0.305,37.161089564514455,0.8779086266756466,0.42435476583674037,-1.366868153419531,Numerical finite sums from exact integer counts.
35,16,0.64,0.3075,37.19622701900417,0.878961408274364,0.4178997672835706,-1.3677273185331007,Numerical finite sums from exact integer counts.
35,16,0.64,0.31,37.231406264905495,0.8799982690043784,0.4116169695077804,-1.3685775587248252,Numerical finite sums from exact integer counts.
35,16,0.64,0.3125,37.26662667388482,0.881019631230604,0.40549991170148003,-1.3694190159232469,Numerical finite sums from exact integer counts.
35,16,0.64,0.315,37.30188763418491,0.8820259015262335,0.3995424189902802,-1.3702518290906227,Numerical finite sums from exact integer counts.
35,16,0.64,0.3175,37.33718855000731,0.8830174713705493,0.39373858892100155,-1.3710761342827333,Numerical finite sums from exact integer counts.
35,16,0.64,0.32,37.372528840922,0.8839947178137488,0.38808277858460893,-1.3718920647086323,Numerical finite sums from exact integer counts.
35,16,0.64,0.3225,37.40790794130299,0.8849580041103461,0.38256959234724996,-1.3726997507902123,Numerical finite sums from exact integer counts.
35,16,0.64,0.325,37.44332529978864,0.8859076803226297,0.3771938701631048,-1.3734993202214534,Numerical finite sums from exact integer counts.
35,16,0.64,0.3275,37.478780378765634,0.8868440838956096,0.3719506764435413,-1.3742908980272603,Numerical finite sums from exact integer counts.
35,16,0.64,0.33,37.51427265387524,0.8877675402048004,0.36683528945793953,-1.3750746066217874,Numerical finite sums from exact integer counts.
35,16,0.64,0.3325,37.54980161354111,0.8886783630781493,0.3618431912423403,-1.3758505658661637,Numerical finite sums from exact integer counts.
35,16,0.64,0.335,37.58536675851742,0.8895768552933458,0.3569700579929713,-1.376618893125555,Numerical finite sums from exact integer counts.
35,16,0.64,0.3375,37.62096760145633,0.8904633090517006,0.3522117509224931,-1.377379703325491,Numerical finite sums from exact integer counts.
35,16,0.64,0.34,37.65660366649412,0.8913380064297135,0.34756430755766854,-1.378133109007402,Numerical finite sums from exact integer counts.
35,16,0.64,0.3425,37.69227448885485,0.8922012198094287,0.3430239334579759,-1.3788792203833313,Numerical finite sums from exact integer counts.
35,16,0.64,0.34500000000000003,37.72797961447082,0.8930532122885787,0.3385869943354954,-1.3796181453897576,Numerical finite sums from exact integer counts.
35,16,0.64,0.34750000000000003,37.76371859961911,0.8938942380715185,0.3342500085571847,-1.38034998974052,Numerical finite sums from exact integer counts.
35,16,0.64,0.35000000000000003,37.799491010573334,0.8947245428418722,0.3300096400114601,-1.3810748569788025,Numerical finite sums from exact integer counts.
35,16,0.64,0.3525,37.83529642327001,0.8955443641177822,0.3258626913217261,-1.3817928485281583,Numerical finite sums from exact integer counts.
35,16,0.64,0.355,37.87113442298872,0.89635393159061,0.32180609739027266,-1.382504063742559,Numerical finite sums from exact integer counts.
35,16,0.64,0.3575,37.90700460404558,0.8971534674478916,0.3178369192566393,-1.3832085999554522,Numerical finite sums from exact integer counts.
35,16,0.64,0.36,37.9429065694993,0.8979431866813175,0.3139523382552829,-1.3839065525278165,Numerical finite sums from exact integer counts.
35,16,0.64,0.3625,37.97883993086924,0.898723297380465,0.31014965045801357,-1.3845980148952168,Numerical finite sums from exact integer counts.
35,16,0.64,0.365,38.014804307865006,0.8994940010129797,0.3064262613873697,-1.3852830786138481,Numerical finite sums from exact integer counts.
35,16,0.64,0.3675,38.05079932812694,0.9002554926918608,0.30277968098767344,-1.3859618334055643,Numerical finite sums from exact integer counts.
35,16,0.64,0.37,38.086824626977084,0.9010079614304882,0.29920751884117414,-1.3866343672019124,Numerical finite sums from exact integer counts.
35,16,0.64,0.3725,38.1228798471801,0.9017515903859817,0.2957074796172168,-1.387300766187156,Numerical finite sums from exact integer counts.
35,16,0.64,0.375,38.1589646387137,0.9024865570914606,0.29227735874297944,-1.3879611148403086,Numerical finite sums from exact integer counts.
35,16,0.64,0.3775,38.19507865854814,0.9032130336777465,0.2889150382848329,-1.3886154959761787,Numerical finite sums from exact integer counts.
35,16,0.64,0.38,38.231221570434414,0.9039311870850267,0.28561848302990844,-1.3892639907854472,Numerical finite sums from exact integer counts.
35,16,0.64,0.3825,38.267393044700704,0.9046411792649532,0.28238573675795675,-1.3899066788737642,Numerical finite sums from exact integer counts.
35,16,0.64,0.385,38.30359275805671,0.9053431673736552,0.2792149186940479,-1.3905436382999117,Numerical finite sums from exact integer counts.
